dataset,features_method,regressor_method,RMSE,MAE,TrainTime
normal,all_features,random_forest,0.3306291136311954,0.25090931016408435,0.0
normal,all_features,xgboost,0.3511037578344828,0.20942053376719705,0.0
normal,all_features,neural_network,0.642360812279005,0.4647572018444679,0.0
hackathon,genome_tags,linear_regression,0.7189052720302087,0.5460426879911746,27.426053047180176
hackathon,all_features_with_genome,random_forest,0.2889514981779654,0.21683116239705683,200.1582326889038
hackathon,all_features_with_genome,xgboost,0.18385128334789644,0.11227979838162364,240.76418662071228
hackathon,all_features_with_genome,neural_network,0.5024224749224568,0.37045784355021694,483.3226959705353
